AED-Dirham de los Emiratos arabes Unidos
AFN-Afgano afgano
ALL-Lek albanes
AMD-Dram armenio
ANG-Florin antillano neerlandes
AOA-Kwanza angoleño
ARS-Peso argentino
AUD-Dolar australiano
AWG-Florin arubano
AZN-Manat azerbaiyano
BAM-Marco convertible de Bosnia-Herzegovina
BBD-Dolar de Barbados
BDT-Taka bangladeshi
BGN-Lev bulgaro
BHD-Dinar bahreini
BIF-Franco burundes
BMD-Dolar de Bermudas
BND-Dolar de Brunei
BOB-Boliviano
BRL-Real brasileño
BSD-Dolar de las Bahamas
BTC-Bitcoin
BTN-Ngultrum butanes
BWP-Pula botswanesa
BYN-Nuevo rublo bielorruso
BYR-Rublo bielorruso
BZD-Dolar de Belice
CAD-Dolar canadiense
CDF-Franco congoleño
CHF-Franco suizo
CLF-Unidad de cuenta chilena (UF)
CLP-Peso chileno
CNY-Yuan chino
COP-Peso colombiano
CRC-Colon costarricense
CUC-Peso cubano convertible
CUP-Peso cubano
CVE-Escudo caboverdiano
CZK-Corona checa
DJF-Franco yibutiano
DKK-Corona danesa
DOP-Peso dominicano
DZD-Dinar argelino
EGP-Libra egipcia
ERN-Nakfa eritreo
ETB-Birr etiope
EUR-Euro
FJD-Dolar fiyiano
FKP-Libra de las Islas Malvinas
GBP-Libra esterlina britanica
GEL-Lari georgiano
GGP-Libra de Guernesey
GHS-Cedi ghanes
GIP-Libra de Gibraltar
GMD-Dalasi gambiano
GNF-Franco guineano
GTQ-Quetzal guatemalteco
GYD-Dolar guyanes
HKD-Dolar de Hong Kong
HNL-Lempira hondureño
HRK-Kuna croata
HTG-Gourde haitiano
HUF-Forint hungaro
IDR-Rupia indonesia
ILS-Nuevo sheqel israeli
IMP-Libra manesa
INR-Rupia india
IQD-Dinar iraqui
IRR-Rial irani
ISK-Corona islandesa
JEP-Libra de Jersey
JMD-Dolar jamaicano
JOD-Dinar jordano
JPY-Yen japones
KES-Chelin keniano
KGS-Som kirguis
KHR-Riel camboyano
KMF-Franco comorano
KPW-Won norcoreano
KRW-Won surcoreano
KWD-Dinar kuwaiti
KYD-Dolar de las Islas Caiman
KZT-Tenge kazajo
LAK-Kip laosiano
LBP-Libra libanesa
LKR-Rupia de Sri Lanka
LRD-Dolar liberiano
LSL-Loti lesotho
LTL-Litas lituana
LVL-Lats leton
LYD-Dinar libio
MAD-Dirham marroqui
MDL-Leu moldavo
MGA-Ariary malgache
MKD-Denar macedonio
MMK-Kyat de Myanmar
MNT-Tugrik mongol
MOP-Pataca macaense
MRO-Ouguiya mauritano
MUR-Rupia mauriciana
MVR-Maldivas Rufiyaa
MWK-Kwacha malawiano
MXN-Peso mexicano
MYR-Ringgit malayo
MZN-Metical mozambiqueño
NAD-Dolar namibio
NGN-Naira nigeriano
NIO-Cordoba nicaragüense
NOK-Corona noruega
NPR-Rupia nepalesa
NZD-Dolar neozelandes
OMR-Rial omani
PAB-Balboa panameño
PEN-Nuevo sol peruano
PGK-Kina de Papua Nueva Guinea
PHP-Peso filipino
PKR-Rupia pakistani
PLN-Zloty polaco
PYG-Guarani paraguayo
QAR-Rial qatari
RON-Leu rumano
RSD-Dinar serbio
RUB-Rublo ruso
RWF-Franco ruandes
SAR-Riyal saudi
SBD-Dolar de las Islas Salomon
SCR-Rupia de Seychelles
SDG-Libra sudanesa
SEK-Corona sueca
SGD-Dolar de Singapur
SHP-Santa Elena Libra
SLE-Sierra Leona
SLL-Leona sierraleonesa
SOS-Chelin somali
SRD-Surinam Dolar
STD-Santo Tome y Principe Dobra
SVC-Colon salvadoreño
SYP-Libra siria
SZL-Lilangeni suazi
THB-Baht tailandes
TJS-Somoni tayiko
TMT-Manat turcomano
TND-Dinar tunecino
TOP-Pa?anga tongano
TRY-Lira turca
TTD-Dolar de Trinidad y Tobago
TWD-Nuevo dolar de Taiwan
TZS-Chelin tanzano
UAH-Hryvnia ucraniano
UGX-Chelin ugandes
USD-Dolar estadounidense
UYU-Peso uruguayo
UZS-Som uzbeko
VEF-Bolivar fuerte venezolano
VES-Bolivar Soberano
VND-Dong vietnamita
VUV-Vanuatu Vatu
WST-Tala samoano
XAF-Franco CFA BEAC
XAG-Plata (onza troy)
XAU-Oro (onza troy)
XCD-Dolar del Caribe Oriental
XDR-Derechos especiales de giro
XOF-Franco CFA BCEAO
XPF-Franco CFP
YER-Rial yemeni
ZAR-Rand sudafricano
ZMK-Kwacha zambiano (antes de 2013)
ZMW-Kwacha zambiano
ZWL-Dolar zimbabuense
